,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
6656030,HOME,2016-08-26,16.08,16.38,16.0211,16.08,167153.0,0.0,1.0,16.08,16.38,16.0211,16.08,167153.0
6656031,HOME,2016-08-29,16.22,16.34,15.8,15.8,178991.0,0.0,1.0,16.22,16.34,15.8,15.8,178991.0
6656032,HOME,2016-08-30,15.8,15.95,15.55,15.64,124619.0,0.0,1.0,15.8,15.95,15.55,15.64,124619.0
6656033,HOME,2016-08-31,15.55,15.5655,15.04,15.25,218777.0,0.0,1.0,15.55,15.5655,15.04,15.25,218777.0
6656034,HOME,2016-09-01,15.37,15.37,15.12,15.33,153134.0,0.0,1.0,15.37,15.37,15.12,15.33,153134.0
6656035,HOME,2016-09-02,15.28,15.57,15.2001,15.37,136064.0,0.0,1.0,15.28,15.57,15.2001,15.37,136064.0
6656036,HOME,2016-09-06,15.22,15.275,14.39,14.63,677967.0,0.0,1.0,15.22,15.275,14.39,14.63,677967.0
6656037,HOME,2016-09-07,14.55,14.6,12.46,12.95,1511564.0,0.0,1.0,14.55,14.6,12.46,12.95,1511564.0
6656038,HOME,2016-09-08,13.0,13.0,12.0,12.1,724747.0,0.0,1.0,13.0,13.0,12.0,12.1,724747.0
6656039,HOME,2016-09-09,12.0,12.36,11.71,12.06,346265.0,0.0,1.0,12.0,12.36,11.71,12.06,346265.0
6656040,HOME,2016-09-12,11.73,12.22,11.6,11.72,286576.0,0.0,1.0,11.73,12.22,11.6,11.72,286576.0
6656041,HOME,2016-09-13,11.58,12.68,11.58,12.45,799373.0,0.0,1.0,11.58,12.68,11.58,12.45,799373.0
6656042,HOME,2016-09-14,13.38,13.74,12.48,12.63,1813675.0,0.0,1.0,13.38,13.74,12.48,12.63,1813675.0
6656043,HOME,2016-09-15,12.63,12.8526,12.1,12.59,609679.0,0.0,1.0,12.63,12.8526,12.1,12.59,609679.0
6656044,HOME,2016-09-16,12.59,13.5,12.5585,13.45,785863.0,0.0,1.0,12.59,13.5,12.5585,13.45,785863.0
6656045,HOME,2016-09-19,13.48,13.89,13.464,13.87,234440.0,0.0,1.0,13.48,13.89,13.464,13.87,234440.0
6656046,HOME,2016-09-20,13.89,14.18,13.82,14.01,245685.0,0.0,1.0,13.89,14.18,13.82,14.01,245685.0
6656047,HOME,2016-09-21,14.29,14.87,14.23,14.75,329860.0,0.0,1.0,14.29,14.87,14.23,14.75,329860.0
6656048,HOME,2016-09-22,14.86,14.86,14.65,14.7,344553.0,0.0,1.0,14.86,14.86,14.65,14.7,344553.0
6656049,HOME,2016-09-23,14.74,14.79,14.08,14.66,243443.0,0.0,1.0,14.74,14.79,14.08,14.66,243443.0
6656050,HOME,2016-09-26,14.66,14.7,14.49,14.53,144960.0,0.0,1.0,14.66,14.7,14.49,14.53,144960.0
6656051,HOME,2016-09-27,14.5,14.7,14.5,14.53,171225.0,0.0,1.0,14.5,14.7,14.5,14.53,171225.0
6656052,HOME,2016-09-28,14.56,15.199000000000002,14.49,14.79,363829.0,0.0,1.0,14.56,15.199000000000002,14.49,14.79,363829.0
6656053,HOME,2016-09-29,14.7,15.3001,14.7,15.07,194812.0,0.0,1.0,14.7,15.3001,14.7,15.07,194812.0
6656054,HOME,2016-09-30,15.06,15.49,14.97,15.15,995764.0,0.0,1.0,15.06,15.49,14.97,15.15,995764.0
6656055,HOME,2016-10-03,15.15,15.27,13.99,13.99,550802.0,0.0,1.0,15.15,15.27,13.99,13.99,550802.0
6656056,HOME,2016-10-04,13.9,13.9,13.29,13.41,434422.0,0.0,1.0,13.9,13.9,13.29,13.41,434422.0
6656057,HOME,2016-10-05,13.41,14.05,12.82,13.71,431341.0,0.0,1.0,13.41,14.05,12.82,13.71,431341.0
6656058,HOME,2016-10-06,13.61,13.64,13.11,13.6,217662.0,0.0,1.0,13.61,13.64,13.11,13.6,217662.0
6656059,HOME,2016-10-07,13.55,13.695,13.33,13.6,259231.0,0.0,1.0,13.55,13.695,13.33,13.6,259231.0
6656060,HOME,2016-10-10,13.49,13.93,13.36,13.69,274572.0,0.0,1.0,13.49,13.93,13.36,13.69,274572.0
6656061,HOME,2016-10-11,13.62,13.74,13.29,13.4,172683.0,0.0,1.0,13.62,13.74,13.29,13.4,172683.0
6656062,HOME,2016-10-12,13.35,13.41,13.0,13.04,170632.0,0.0,1.0,13.35,13.41,13.0,13.04,170632.0
6656063,HOME,2016-10-13,13.0,13.14,12.87,12.95,132306.0,0.0,1.0,13.0,13.14,12.87,12.95,132306.0
6656064,HOME,2016-10-14,12.93,12.98,12.57,12.64,166782.0,0.0,1.0,12.93,12.98,12.57,12.64,166782.0
6656065,HOME,2016-10-17,12.64,12.93,12.59,12.81,225091.0,0.0,1.0,12.64,12.93,12.59,12.81,225091.0
6656066,HOME,2016-10-18,12.82,13.0621,12.77,12.89,166221.0,0.0,1.0,12.82,13.0621,12.77,12.89,166221.0
6656067,HOME,2016-10-19,12.93,12.97,12.65,12.68,63620.0,0.0,1.0,12.93,12.97,12.65,12.68,63620.0
6656068,HOME,2016-10-20,12.65,12.685,12.45,12.51,210803.0,0.0,1.0,12.65,12.685,12.45,12.51,210803.0
6656069,HOME,2016-10-21,12.43,12.43,12.06,12.18,278987.0,0.0,1.0,12.43,12.43,12.06,12.18,278987.0
6656070,HOME,2016-10-24,12.28,12.73,12.28,12.49,136759.0,0.0,1.0,12.28,12.73,12.28,12.49,136759.0
6656071,HOME,2016-10-25,12.45,12.45,11.79,11.8,300392.0,0.0,1.0,12.45,12.45,11.79,11.8,300392.0
6656072,HOME,2016-10-26,11.84,11.91,11.14,11.26,358728.0,0.0,1.0,11.84,11.91,11.14,11.26,358728.0
6656073,HOME,2016-10-27,11.33,11.44,11.07,11.18,308530.0,0.0,1.0,11.33,11.44,11.07,11.18,308530.0
6656074,HOME,2016-10-28,11.14,11.56,11.14,11.25,110713.0,0.0,1.0,11.14,11.56,11.14,11.25,110713.0
6656075,HOME,2016-10-31,11.31,11.33,11.14,11.2,117790.0,0.0,1.0,11.31,11.33,11.14,11.2,117790.0
6656076,HOME,2016-11-01,11.21,11.32,11.014000000000001,11.31,202245.0,0.0,1.0,11.21,11.32,11.014000000000001,11.31,202245.0
6656077,HOME,2016-11-02,11.33,11.42,10.85,11.08,188042.0,0.0,1.0,11.33,11.42,10.85,11.08,188042.0
6656078,HOME,2016-11-03,11.11,11.1899,10.71,10.74,129299.0,0.0,1.0,11.11,11.1899,10.71,10.74,129299.0
6656079,HOME,2016-11-04,10.81,10.86,10.54,10.6,141723.0,0.0,1.0,10.81,10.86,10.54,10.6,141723.0
6656080,HOME,2016-11-07,10.64,11.03,10.55,10.88,149474.0,0.0,1.0,10.64,11.03,10.55,10.88,149474.0
6656081,HOME,2016-11-08,10.91,11.01,10.36,10.53,111929.0,0.0,1.0,10.91,11.01,10.36,10.53,111929.0
6656082,HOME,2016-11-09,10.63,10.93,10.19,10.78,112372.0,0.0,1.0,10.63,10.93,10.19,10.78,112372.0
6656083,HOME,2016-11-10,10.78,11.14,10.72,11.0,231400.0,0.0,1.0,10.78,11.14,10.72,11.0,231400.0
6656084,HOME,2016-11-11,11.02,11.6,11.02,11.25,281317.0,0.0,1.0,11.02,11.6,11.02,11.25,281317.0
6656085,HOME,2016-11-14,11.3,11.59,11.2769,11.4,152512.0,0.0,1.0,11.3,11.59,11.2769,11.4,152512.0
6656086,HOME,2016-11-15,11.33,11.4619,11.33,11.44,86226.0,0.0,1.0,11.33,11.4619,11.33,11.44,86226.0
6656087,HOME,2016-11-16,11.37,11.45,11.18,11.21,142923.0,0.0,1.0,11.37,11.45,11.18,11.21,142923.0
6656088,HOME,2016-11-17,11.33,11.47,11.05,11.35,77571.0,0.0,1.0,11.33,11.47,11.05,11.35,77571.0
6656089,HOME,2016-11-18,11.38,11.9,11.38,11.76,87630.0,0.0,1.0,11.38,11.9,11.38,11.76,87630.0
6656090,HOME,2016-11-21,11.74,12.08,11.57,12.05,122708.0,0.0,1.0,11.74,12.08,11.57,12.05,122708.0
6656091,HOME,2016-11-22,12.03,12.25,11.79,12.13,133079.0,0.0,1.0,12.03,12.25,11.79,12.13,133079.0
6656092,HOME,2016-11-23,12.13,12.46,11.94,12.19,135424.0,0.0,1.0,12.13,12.46,11.94,12.19,135424.0
6656093,HOME,2016-11-25,12.25,12.66,12.25,12.6,78710.0,0.0,1.0,12.25,12.66,12.25,12.6,78710.0
6656094,HOME,2016-11-28,12.51,12.66,12.2,12.34,76811.0,0.0,1.0,12.51,12.66,12.2,12.34,76811.0
6656095,HOME,2016-11-29,12.38,12.725,12.3,12.68,187971.0,0.0,1.0,12.38,12.725,12.3,12.68,187971.0
6656096,HOME,2016-11-30,13.2,13.57,12.7,12.88,448477.0,0.0,1.0,13.2,13.57,12.7,12.88,448477.0
6656097,HOME,2016-12-01,12.99,13.01,12.3423,12.46,114937.0,0.0,1.0,12.99,13.01,12.3423,12.46,114937.0
6656098,HOME,2016-12-02,12.59,12.86,12.4,12.73,150868.0,0.0,1.0,12.59,12.86,12.4,12.73,150868.0
6656099,HOME,2016-12-05,12.8,13.8099,12.8,13.61,406958.0,0.0,1.0,12.8,13.8099,12.8,13.61,406958.0
6656100,HOME,2016-12-06,13.55,14.49,13.5,14.13,495328.0,0.0,1.0,13.55,14.49,13.5,14.13,495328.0
6656101,HOME,2016-12-07,14.31,14.39,13.85,14.14,312989.0,0.0,1.0,14.31,14.39,13.85,14.14,312989.0
6656102,HOME,2016-12-08,14.16,14.28,14.02,14.15,171585.0,0.0,1.0,14.16,14.28,14.02,14.15,171585.0
6656103,HOME,2016-12-09,14.23,14.26,14.0,14.18,253708.0,0.0,1.0,14.23,14.26,14.0,14.18,253708.0
6656104,HOME,2016-12-12,14.17,14.2088,13.86,14.07,178352.0,0.0,1.0,14.17,14.2088,13.86,14.07,178352.0
6656105,HOME,2016-12-13,14.09,14.26,13.72,13.81,195600.0,0.0,1.0,14.09,14.26,13.72,13.81,195600.0
6656106,HOME,2016-12-14,13.84,13.84,13.37,13.59,187441.0,0.0,1.0,13.84,13.84,13.37,13.59,187441.0
6656107,HOME,2016-12-15,13.67,14.05,13.3,13.89,331548.0,0.0,1.0,13.67,14.05,13.3,13.89,331548.0
6656108,HOME,2016-12-16,13.97,14.79,13.81,14.46,619290.0,0.0,1.0,13.97,14.79,13.81,14.46,619290.0
6656109,HOME,2016-12-19,14.45,14.97,14.21,14.6,224255.0,0.0,1.0,14.45,14.97,14.21,14.6,224255.0
6656110,HOME,2016-12-20,14.62,15.44,14.5,15.24,184212.0,0.0,1.0,14.62,15.44,14.5,15.24,184212.0
6656111,HOME,2016-12-21,15.18,15.31,14.88,14.91,101673.0,0.0,1.0,15.18,15.31,14.88,14.91,101673.0
6656112,HOME,2016-12-22,14.82,14.82,14.29,14.43,214769.0,0.0,1.0,14.82,14.82,14.29,14.43,214769.0
6656113,HOME,2016-12-23,14.45,14.88,14.45,14.67,59993.0,0.0,1.0,14.45,14.88,14.45,14.67,59993.0
6656114,HOME,2016-12-27,14.63,15.08,14.6,14.9,62754.0,0.0,1.0,14.63,15.08,14.6,14.9,62754.0
6656115,HOME,2016-12-28,14.87,15.01,14.58,14.65,95477.0,0.0,1.0,14.87,15.01,14.58,14.65,95477.0
6656116,HOME,2016-12-29,14.73,14.95,14.65,14.78,106409.0,0.0,1.0,14.73,14.95,14.65,14.78,106409.0
6656117,HOME,2016-12-30,14.85,14.85,14.505,14.63,122245.0,0.0,1.0,14.85,14.85,14.505,14.63,122245.0
6656118,HOME,2017-01-03,14.81,14.81,14.23,14.37,171476.0,0.0,1.0,14.81,14.81,14.23,14.37,171476.0
6656119,HOME,2017-01-04,14.4,14.52,14.2,14.43,186235.0,0.0,1.0,14.4,14.52,14.2,14.43,186235.0
6656120,HOME,2017-01-05,14.45,14.52,14.11,14.23,202721.0,0.0,1.0,14.45,14.52,14.11,14.23,202721.0
6656121,HOME,2017-01-06,14.33,14.33,13.61,13.66,222186.0,0.0,1.0,14.33,14.33,13.61,13.66,222186.0
6656122,HOME,2017-01-09,13.7,14.24,13.58,14.08,359473.0,0.0,1.0,13.7,14.24,13.58,14.08,359473.0
6656123,HOME,2017-01-10,14.05,14.78,14.0166,14.74,265334.0,0.0,1.0,14.05,14.78,14.0166,14.74,265334.0
6656124,HOME,2017-01-11,14.79,14.98,14.45,14.96,102641.0,0.0,1.0,14.79,14.98,14.45,14.96,102641.0
6656125,HOME,2017-01-12,14.9,14.9,14.1727,14.35,126907.0,0.0,1.0,14.9,14.9,14.1727,14.35,126907.0
6656126,HOME,2017-01-13,14.42,14.98,14.42,14.47,123157.0,0.0,1.0,14.42,14.98,14.42,14.47,123157.0
6656127,HOME,2017-01-17,14.45,15.44,14.45,14.71,132739.0,0.0,1.0,14.45,15.44,14.45,14.71,132739.0
6656128,HOME,2017-01-18,14.87,15.1,14.5,15.02,185918.0,0.0,1.0,14.87,15.1,14.5,15.02,185918.0
6656129,HOME,2017-01-19,15.0,15.38,14.86,14.99,209524.0,0.0,1.0,15.0,15.38,14.86,14.99,209524.0
6656130,HOME,2017-01-20,14.99,15.74,14.95,15.28,396710.0,0.0,1.0,14.99,15.74,14.95,15.28,396710.0
6656131,HOME,2017-01-23,15.25,15.6599,15.235,15.34,161054.0,0.0,1.0,15.25,15.6599,15.235,15.34,161054.0
6656132,HOME,2017-01-24,15.32,16.17,15.3,16.06,200423.0,0.0,1.0,15.32,16.17,15.3,16.06,200423.0
6656133,HOME,2017-01-25,16.24,16.69,15.96,16.07,207954.0,0.0,1.0,16.24,16.69,15.96,16.07,207954.0
6656134,HOME,2017-01-26,16.11,16.39,15.73,15.77,197404.0,0.0,1.0,16.11,16.39,15.73,15.77,197404.0
6656135,HOME,2017-01-27,15.85,15.85,15.01,15.14,277318.0,0.0,1.0,15.85,15.85,15.01,15.14,277318.0
6656136,HOME,2017-01-30,15.04,15.39,14.79,15.17,110557.0,0.0,1.0,15.04,15.39,14.79,15.17,110557.0
6656137,HOME,2017-01-31,15.12,15.32,14.831,15.24,85091.0,0.0,1.0,15.12,15.32,14.831,15.24,85091.0
6656138,HOME,2017-02-01,15.33,15.4438,14.89,14.91,75233.0,0.0,1.0,15.33,15.4438,14.89,14.91,75233.0
6656139,HOME,2017-02-02,14.94,15.46,14.86,15.44,108560.0,0.0,1.0,14.94,15.46,14.86,15.44,108560.0
6656140,HOME,2017-02-03,15.49,16.02,15.3163,15.9,146391.0,0.0,1.0,15.49,16.02,15.3163,15.9,146391.0
6656141,HOME,2017-02-06,15.85,16.06,15.14,15.48,149027.0,0.0,1.0,15.85,16.06,15.14,15.48,149027.0
6656142,HOME,2017-02-07,15.45,15.45,14.88,15.02,102925.0,0.0,1.0,15.45,15.45,14.88,15.02,102925.0
6656143,HOME,2017-02-08,15.0,15.285,14.52,15.16,700149.0,0.0,1.0,15.0,15.285,14.52,15.16,700149.0
6656144,HOME,2017-02-09,15.15,15.99,15.15,15.71,90283.0,0.0,1.0,15.15,15.99,15.15,15.71,90283.0
6656145,HOME,2017-02-10,15.71,15.99,15.41,15.83,89807.0,0.0,1.0,15.71,15.99,15.41,15.83,89807.0
6656146,HOME,2017-02-13,15.97,15.97,15.45,15.57,62960.0,0.0,1.0,15.97,15.97,15.45,15.57,62960.0
6656147,HOME,2017-02-14,15.59,15.78,15.181,15.67,99437.0,0.0,1.0,15.59,15.78,15.181,15.67,99437.0
6656148,HOME,2017-02-15,15.56,16.175,15.37,16.13,88338.0,0.0,1.0,15.56,16.175,15.37,16.13,88338.0
6656149,HOME,2017-02-16,16.01,16.17,15.78,15.98,50636.0,0.0,1.0,16.01,16.17,15.78,15.98,50636.0
6656150,HOME,2017-02-17,15.92,16.16,15.63,15.75,113594.0,0.0,1.0,15.92,16.16,15.63,15.75,113594.0
6656151,HOME,2017-02-21,15.75,15.94,15.45,15.84,63273.0,0.0,1.0,15.75,15.94,15.45,15.84,63273.0
6656152,HOME,2017-02-22,15.83,15.9,15.26,15.49,87169.0,0.0,1.0,15.83,15.9,15.26,15.49,87169.0
6656153,HOME,2017-02-23,15.54,15.54,14.811,14.92,132951.0,0.0,1.0,15.54,15.54,14.811,14.92,132951.0
6656154,HOME,2017-02-24,14.82,15.35,14.65,15.05,104130.0,0.0,1.0,14.82,15.35,14.65,15.05,104130.0
6656155,HOME,2017-02-27,15.1,15.42,15.03,15.38,68972.0,0.0,1.0,15.1,15.42,15.03,15.38,68972.0
6656156,HOME,2017-02-28,15.34,15.34,14.68,15.03,191994.0,0.0,1.0,15.34,15.34,14.68,15.03,191994.0
6656157,HOME,2017-03-01,15.24,15.37,14.81,14.91,80755.0,0.0,1.0,15.24,15.37,14.81,14.91,80755.0
6656158,HOME,2017-03-02,14.9,15.1,14.75,14.84,112119.0,0.0,1.0,14.9,15.1,14.75,14.84,112119.0
6656159,HOME,2017-03-03,14.95,15.07,14.649000000000001,14.8,139701.0,0.0,1.0,14.95,15.07,14.649000000000001,14.8,139701.0
6656160,HOME,2017-03-06,14.67,14.855,14.31,14.41,122096.0,0.0,1.0,14.67,14.855,14.31,14.41,122096.0
6656161,HOME,2017-03-07,14.4,14.74,14.21,14.57,141384.0,0.0,1.0,14.4,14.74,14.21,14.57,141384.0
6656162,HOME,2017-03-08,14.53,14.67,14.05,14.11,117492.0,0.0,1.0,14.53,14.67,14.05,14.11,117492.0
6656163,HOME,2017-03-09,14.0,14.29,13.97,14.15,69167.0,0.0,1.0,14.0,14.29,13.97,14.15,69167.0
6656164,HOME,2017-03-10,14.3,14.48,14.17,14.38,45060.0,0.0,1.0,14.3,14.48,14.17,14.38,45060.0
6656165,HOME,2017-03-13,14.38,14.64,14.2,14.41,55532.0,0.0,1.0,14.38,14.64,14.2,14.41,55532.0
6656166,HOME,2017-03-14,14.36,15.132,14.265,15.05,160790.0,0.0,1.0,14.36,15.132,14.265,15.05,160790.0
6656167,HOME,2017-03-15,15.15,15.36,14.96,15.23,75681.0,0.0,1.0,15.15,15.36,14.96,15.23,75681.0
6656168,HOME,2017-03-16,15.23,15.94,15.2,15.67,76496.0,0.0,1.0,15.23,15.94,15.2,15.67,76496.0
6656169,HOME,2017-03-17,15.71,15.81,15.3818,15.62,61129.0,0.0,1.0,15.71,15.81,15.3818,15.62,61129.0
6656170,HOME,2017-03-20,15.56,15.75,15.26,15.39,66667.0,0.0,1.0,15.56,15.75,15.26,15.39,66667.0
6656171,HOME,2017-03-21,15.5,15.5,14.667,14.75,83715.0,0.0,1.0,15.5,15.5,14.667,14.75,83715.0
6656172,HOME,2017-03-22,14.66,15.09,14.44,14.97,85225.0,0.0,1.0,14.66,15.09,14.44,14.97,85225.0
6656173,HOME,2017-03-23,15.05,15.38,15.0035,15.23,58792.0,0.0,1.0,15.05,15.38,15.0035,15.23,58792.0
6656174,HOME,2017-03-24,15.27,15.69,15.27,15.61,59932.0,0.0,1.0,15.27,15.69,15.27,15.61,59932.0
6656175,HOME,2017-03-27,15.5,15.89,15.2,15.62,194844.0,0.0,1.0,15.5,15.89,15.2,15.62,194844.0
6656176,HOME,2017-03-28,16.5,16.99,14.8,15.28,514957.0,0.0,1.0,16.5,16.99,14.8,15.28,514957.0
6656177,HOME,2017-03-29,15.5,15.57,15.035,15.48,214183.0,0.0,1.0,15.5,15.57,15.035,15.48,214183.0
6656178,HOME,2017-03-30,15.6,15.65,14.81,15.29,162075.0,0.0,1.0,15.6,15.65,14.81,15.29,162075.0
6656179,HOME,2017-03-31,15.27,15.65,15.02,15.16,115525.0,0.0,1.0,15.27,15.65,15.02,15.16,115525.0
6656180,HOME,2017-04-03,15.19,15.25,14.9,15.03,93955.0,0.0,1.0,15.19,15.25,14.9,15.03,93955.0
6656181,HOME,2017-04-04,15.1,15.12,14.84,15.08,289336.0,0.0,1.0,15.1,15.12,14.84,15.08,289336.0
6656182,HOME,2017-04-05,15.1,15.49,14.88,15.04,184690.0,0.0,1.0,15.1,15.49,14.88,15.04,184690.0
6656183,HOME,2017-04-06,14.93,15.32,14.92,15.21,75318.0,0.0,1.0,14.93,15.32,14.92,15.21,75318.0
6656184,HOME,2017-04-07,15.1301,15.57,15.13,15.51,94509.0,0.0,1.0,15.1301,15.57,15.13,15.51,94509.0
6656185,HOME,2017-04-10,15.58,16.05,15.58,15.96,115628.0,0.0,1.0,15.58,16.05,15.58,15.96,115628.0
6656186,HOME,2017-04-11,15.97,16.09,15.54,15.95,44187.0,0.0,1.0,15.97,16.09,15.54,15.95,44187.0
6656187,HOME,2017-04-12,15.98,15.98,15.45,15.47,43530.0,0.0,1.0,15.98,15.98,15.45,15.47,43530.0
6656188,HOME,2017-04-13,15.47,15.51,14.9,14.92,101932.0,0.0,1.0,15.47,15.51,14.9,14.92,101932.0
6656189,HOME,2017-04-17,15.06,15.07,14.81,14.99,82614.0,0.0,1.0,15.06,15.07,14.81,14.99,82614.0
6656190,HOME,2017-04-18,14.97,15.74,14.96,15.69,103918.0,0.0,1.0,14.97,15.74,14.96,15.69,103918.0
6656191,HOME,2017-04-19,15.68,16.47,15.6755,16.2,146523.0,0.0,1.0,15.68,16.47,15.6755,16.2,146523.0
6656192,HOME,2017-04-20,16.24,16.636,16.0601,16.5,189570.0,0.0,1.0,16.24,16.636,16.0601,16.5,189570.0
6656193,HOME,2017-04-21,16.37,16.61,16.26,16.47,87832.0,0.0,1.0,16.37,16.61,16.26,16.47,87832.0
6656194,HOME,2017-04-24,16.71,16.84,16.41,16.73,65762.0,0.0,1.0,16.71,16.84,16.41,16.73,65762.0
6656195,HOME,2017-04-25,16.81,17.39,16.64,16.84,138966.0,0.0,1.0,16.81,17.39,16.64,16.84,138966.0
6656196,HOME,2017-04-26,16.88,17.505,16.84,17.3,81908.0,0.0,1.0,16.88,17.505,16.84,17.3,81908.0
6656197,HOME,2017-04-27,17.29,17.74,17.04,17.55,125233.0,0.0,1.0,17.29,17.74,17.04,17.55,125233.0
6656198,HOME,2017-04-28,17.58,17.65,17.01,17.51,140996.0,0.0,1.0,17.58,17.65,17.01,17.51,140996.0
6656199,HOME,2017-05-01,17.69,17.69,17.01,17.29,80676.0,0.0,1.0,17.69,17.69,17.01,17.29,80676.0
6656200,HOME,2017-05-02,17.3,17.49,17.0764,17.4,56968.0,0.0,1.0,17.3,17.49,17.0764,17.4,56968.0
6656201,HOME,2017-05-03,17.41,17.54,17.12,17.52,70243.0,0.0,1.0,17.41,17.54,17.12,17.52,70243.0
6656202,HOME,2017-05-04,17.52,18.0,17.49,17.97,106673.0,0.0,1.0,17.52,18.0,17.49,17.97,106673.0
6656203,HOME,2017-05-05,18.0,18.43,18.0,18.36,171950.0,0.0,1.0,18.0,18.43,18.0,18.36,171950.0
6656204,HOME,2017-05-08,18.31,18.5399,18.27,18.43,78487.0,0.0,1.0,18.31,18.5399,18.27,18.43,78487.0
6656205,HOME,2017-05-09,18.5,19.35,18.47,19.05,327821.0,0.0,1.0,18.5,19.35,18.47,19.05,327821.0
6656206,HOME,2017-05-10,19.03,19.24,18.83,19.06,108269.0,0.0,1.0,19.03,19.24,18.83,19.06,108269.0
6656207,HOME,2017-05-11,18.88,19.33,18.7,19.1,92239.0,0.0,1.0,18.88,19.33,18.7,19.1,92239.0
6656208,HOME,2017-05-12,19.02,19.1,18.57,18.74,118285.0,0.0,1.0,19.02,19.1,18.57,18.74,118285.0
6656209,HOME,2017-05-15,18.73,18.93,18.45,18.55,157029.0,0.0,1.0,18.73,18.93,18.45,18.55,157029.0
6656210,HOME,2017-05-16,18.61,18.85,18.49,18.64,184982.0,0.0,1.0,18.61,18.85,18.49,18.64,184982.0
6656211,HOME,2017-05-17,18.39,18.68,18.36,18.5,229350.0,0.0,1.0,18.39,18.68,18.36,18.5,229350.0
6656212,HOME,2017-05-18,18.43,18.56,18.21,18.24,247004.0,0.0,1.0,18.43,18.56,18.21,18.24,247004.0
6656213,HOME,2017-05-19,18.34,18.67,18.2,18.6,65151.0,0.0,1.0,18.34,18.67,18.2,18.6,65151.0
6656214,HOME,2017-05-22,18.64,18.86,18.53,18.61,62766.0,0.0,1.0,18.64,18.86,18.53,18.61,62766.0
6656215,HOME,2017-05-23,18.63,18.7,18.42,18.61,48624.0,0.0,1.0,18.63,18.7,18.42,18.61,48624.0
6656216,HOME,2017-05-24,18.61,18.98,18.5,18.75,74400.0,0.0,1.0,18.61,18.98,18.5,18.75,74400.0
6656217,HOME,2017-05-25,18.8,19.48,18.72,19.12,425963.0,0.0,1.0,18.8,19.48,18.72,19.12,425963.0
6656218,HOME,2017-05-26,19.16,19.22,18.92,18.95,51166.0,0.0,1.0,19.16,19.22,18.92,18.95,51166.0
6656219,HOME,2017-05-30,19.01,19.1,18.63,18.74,54756.0,0.0,1.0,19.01,19.1,18.63,18.74,54756.0
6656220,HOME,2017-05-31,18.86,18.86,18.42,18.74,96765.0,0.0,1.0,18.86,18.86,18.42,18.74,96765.0
6656221,HOME,2017-06-01,18.74,19.15,18.74,19.0,82480.0,0.0,1.0,18.74,19.15,18.74,19.0,82480.0
6656222,HOME,2017-06-02,19.01,19.13,18.75,18.9,179592.0,0.0,1.0,19.01,19.13,18.75,18.9,179592.0
6656223,HOME,2017-06-05,18.94,18.955,18.74,18.87,90727.0,0.0,1.0,18.94,18.955,18.74,18.87,90727.0
6656224,HOME,2017-06-06,18.8,18.8,18.4,18.51,258084.0,0.0,1.0,18.8,18.8,18.4,18.51,258084.0
6656225,HOME,2017-06-07,18.81,22.58,18.5,22.53,1926315.0,0.0,1.0,18.81,22.58,18.5,22.53,1926315.0
