,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
14790350,WIX,2013-12-18,27.84,28.37,26.52,27.92,252000.0,0.0,1.0,27.84,28.37,26.52,27.92,252000.0
14790351,WIX,2013-12-19,27.6,28.319000000000003,26.6,26.87,188600.0,0.0,1.0,27.6,28.319000000000003,26.6,26.87,188600.0
14790352,WIX,2013-12-20,26.79,28.0,24.25,27.96,1600900.0,0.0,1.0,26.79,28.0,24.25,27.96,1600900.0
14790353,WIX,2013-12-23,27.85,28.8,27.25,27.74,217300.0,0.0,1.0,27.85,28.8,27.25,27.74,217300.0
14790354,WIX,2013-12-24,27.85,28.4853,26.5001,27.82,96200.0,0.0,1.0,27.85,28.4853,26.5001,27.82,96200.0
14790355,WIX,2013-12-26,28.34,28.89,27.5,28.49,159700.0,0.0,1.0,28.34,28.89,27.5,28.49,159700.0
14790356,WIX,2013-12-27,28.36,28.85,27.51,28.16,102300.0,0.0,1.0,28.36,28.85,27.51,28.16,102300.0
14790357,WIX,2013-12-30,28.16,28.17,27.15,27.77,140200.0,0.0,1.0,28.16,28.17,27.15,27.77,140200.0
14790358,WIX,2013-12-31,27.69,27.99,26.551,26.85,138700.0,0.0,1.0,27.69,27.99,26.551,26.85,138700.0
14790359,WIX,2014-01-02,26.58,26.58,25.034000000000002,25.78,156400.0,0.0,1.0,26.58,26.58,25.034000000000002,25.78,156400.0
14790360,WIX,2014-01-03,25.89,26.52,24.75,25.03,144400.0,0.0,1.0,25.89,26.52,24.75,25.03,144400.0
14790361,WIX,2014-01-06,25.1,25.5,24.0,24.43,111100.0,0.0,1.0,25.1,25.5,24.0,24.43,111100.0
14790362,WIX,2014-01-07,24.95,25.5,24.0,24.05,108300.0,0.0,1.0,24.95,25.5,24.0,24.05,108300.0
14790363,WIX,2014-01-08,24.24,24.4,23.7107,24.3,388200.0,0.0,1.0,24.24,24.4,23.7107,24.3,388200.0
14790364,WIX,2014-01-09,24.32,26.5,24.32,26.06,424300.0,0.0,1.0,24.32,26.5,24.32,26.06,424300.0
14790365,WIX,2014-01-10,26.39,26.5,25.8,26.45,81200.0,0.0,1.0,26.39,26.5,25.8,26.45,81200.0
14790366,WIX,2014-01-13,26.26,26.9,26.01,26.89,131400.0,0.0,1.0,26.26,26.9,26.01,26.89,131400.0
14790367,WIX,2014-01-14,26.75,27.45,26.69,27.39,128200.0,0.0,1.0,26.75,27.45,26.69,27.39,128200.0
14790368,WIX,2014-01-15,27.35,27.45,26.59,27.43,128200.0,0.0,1.0,27.35,27.45,26.59,27.43,128200.0
14790369,WIX,2014-01-16,27.43,27.9,27.33,27.58,95600.0,0.0,1.0,27.43,27.9,27.33,27.58,95600.0
14790370,WIX,2014-01-17,27.67,28.49,27.2,28.45,103000.0,0.0,1.0,27.67,28.49,27.2,28.45,103000.0
14790371,WIX,2014-01-21,28.45,28.8503,27.21,28.85,106400.0,0.0,1.0,28.45,28.8503,27.21,28.85,106400.0
14790372,WIX,2014-01-22,28.85,30.25,28.7,29.5,217700.0,0.0,1.0,28.85,30.25,28.7,29.5,217700.0
14790373,WIX,2014-01-23,29.5,30.25,28.62,30.07,94800.0,0.0,1.0,29.5,30.25,28.62,30.07,94800.0
14790374,WIX,2014-01-24,29.7,30.1,27.4,28.33,180300.0,0.0,1.0,29.7,30.1,27.4,28.33,180300.0
14790375,WIX,2014-01-27,27.79,28.0,26.8,27.09,90900.0,0.0,1.0,27.79,28.0,26.8,27.09,90900.0
14790376,WIX,2014-01-28,27.0,28.0,26.9575,27.55,103400.0,0.0,1.0,27.0,28.0,26.9575,27.55,103400.0
14790377,WIX,2014-01-29,27.63,27.63,26.85,26.99,74300.0,0.0,1.0,27.63,27.63,26.85,26.99,74300.0
14790378,WIX,2014-01-30,27.17,28.5,27.17,27.91,66800.0,0.0,1.0,27.17,28.5,27.17,27.91,66800.0
14790379,WIX,2014-01-31,27.53,29.1499,27.034000000000002,28.66,76900.0,0.0,1.0,27.53,29.1499,27.034000000000002,28.66,76900.0
14790380,WIX,2014-02-03,29.0,29.0,25.61,27.01,161100.0,0.0,1.0,29.0,29.0,25.61,27.01,161100.0
14790381,WIX,2014-02-04,27.04,27.93,26.11,26.22,57900.0,0.0,1.0,27.04,27.93,26.11,26.22,57900.0
14790382,WIX,2014-02-05,26.46,26.46,25.12,25.29,119000.0,0.0,1.0,26.46,26.46,25.12,25.29,119000.0
14790383,WIX,2014-02-06,25.49,25.85,25.21,25.58,83400.0,0.0,1.0,25.49,25.85,25.21,25.58,83400.0
14790384,WIX,2014-02-07,25.77,29.49,25.77,28.14,263700.0,0.0,1.0,25.77,29.49,25.77,28.14,263700.0
14790385,WIX,2014-02-10,28.3,29.2499,27.64,28.51,74700.0,0.0,1.0,28.3,29.2499,27.64,28.51,74700.0
14790386,WIX,2014-02-11,28.6,29.88,28.21,29.77,150300.0,0.0,1.0,28.6,29.88,28.21,29.77,150300.0
14790387,WIX,2014-02-12,29.62,31.4,28.87,29.81,550600.0,0.0,1.0,29.62,31.4,28.87,29.81,550600.0
14790388,WIX,2014-02-13,29.95,30.8,29.36,29.45,220800.0,0.0,1.0,29.95,30.8,29.36,29.45,220800.0
14790389,WIX,2014-02-14,29.33,29.84,28.8216,29.04,78400.0,0.0,1.0,29.33,29.84,28.8216,29.04,78400.0
14790390,WIX,2014-02-18,28.85,28.99,27.57,28.28,106500.0,0.0,1.0,28.85,28.99,27.57,28.28,106500.0
14790391,WIX,2014-02-19,28.05,28.6,27.15,27.94,118100.0,0.0,1.0,28.05,28.6,27.15,27.94,118100.0
14790392,WIX,2014-02-20,28.0,29.83,27.9999,28.98,128100.0,0.0,1.0,28.0,29.83,27.9999,28.98,128100.0
14790393,WIX,2014-02-21,29.0,29.92,28.7,29.35,84800.0,0.0,1.0,29.0,29.92,28.7,29.35,84800.0
14790394,WIX,2014-02-24,29.37,29.75,29.05,29.12,60300.0,0.0,1.0,29.37,29.75,29.05,29.12,60300.0
14790395,WIX,2014-02-25,29.27,32.69,29.22,31.23,250500.0,0.0,1.0,29.27,32.69,29.22,31.23,250500.0
14790396,WIX,2014-02-26,31.22,32.3997,30.605,31.21,108100.0,0.0,1.0,31.22,32.3997,30.605,31.21,108100.0
14790397,WIX,2014-02-27,31.8,31.9,31.06,31.32,129500.0,0.0,1.0,31.8,31.9,31.06,31.32,129500.0
14790398,WIX,2014-02-28,31.44,32.37,30.11,30.9,263900.0,0.0,1.0,31.44,32.37,30.11,30.9,263900.0
14790399,WIX,2014-03-03,30.24,30.625,29.02,29.89,137700.0,0.0,1.0,30.24,30.625,29.02,29.89,137700.0
14790400,WIX,2014-03-04,30.09,31.12,29.79,30.34,102600.0,0.0,1.0,30.09,31.12,29.79,30.34,102600.0
14790401,WIX,2014-03-05,30.4,30.4,29.02,29.22,133700.0,0.0,1.0,30.4,30.4,29.02,29.22,133700.0
14790402,WIX,2014-03-06,29.0,29.7713,28.8,29.65,55400.0,0.0,1.0,29.0,29.7713,28.8,29.65,55400.0
14790403,WIX,2014-03-07,29.68,29.92,27.18,28.16,356900.0,0.0,1.0,29.68,29.92,27.18,28.16,356900.0
14790404,WIX,2014-03-10,28.2,28.21,26.4101,26.87,193600.0,0.0,1.0,28.2,28.21,26.4101,26.87,193600.0
14790405,WIX,2014-03-11,26.85,27.92,26.26,26.55,113400.0,0.0,1.0,26.85,27.92,26.26,26.55,113400.0
14790406,WIX,2014-03-12,26.44,27.36,25.5,27.35,78700.0,0.0,1.0,26.44,27.36,25.5,27.35,78700.0
14790407,WIX,2014-03-13,27.73,27.779,26.09,26.35,125400.0,0.0,1.0,27.73,27.779,26.09,26.35,125400.0
14790408,WIX,2014-03-14,26.04,26.7,25.66,26.4,63000.0,0.0,1.0,26.04,26.7,25.66,26.4,63000.0
14790409,WIX,2014-03-17,26.81,27.89,26.01,26.78,95300.0,0.0,1.0,26.81,27.89,26.01,26.78,95300.0
14790410,WIX,2014-03-18,26.96,27.39,26.15,26.8,108500.0,0.0,1.0,26.96,27.39,26.15,26.8,108500.0
14790411,WIX,2014-03-19,26.78,27.28,26.24,26.63,97500.0,0.0,1.0,26.78,27.28,26.24,26.63,97500.0
14790412,WIX,2014-03-20,26.49,27.01,25.72,26.56,98100.0,0.0,1.0,26.49,27.01,25.72,26.56,98100.0
14790413,WIX,2014-03-21,26.56,26.9,25.32,25.68,194200.0,0.0,1.0,26.56,26.9,25.32,25.68,194200.0
14790414,WIX,2014-03-24,25.68,25.9,22.71,23.21,331400.0,0.0,1.0,25.68,25.9,22.71,23.21,331400.0
14790415,WIX,2014-03-25,23.45,23.78,23.21,23.5,210800.0,0.0,1.0,23.45,23.78,23.21,23.5,210800.0
14790416,WIX,2014-03-26,23.62,23.68,22.21,22.41,157300.0,0.0,1.0,23.62,23.68,22.21,22.41,157300.0
14790417,WIX,2014-03-27,22.45,22.45,19.9101,20.2,430800.0,0.0,1.0,22.45,22.45,19.9101,20.2,430800.0
14790418,WIX,2014-03-28,20.3,21.4699,20.0,21.02,198400.0,0.0,1.0,20.3,21.4699,20.0,21.02,198400.0
14790419,WIX,2014-03-31,22.66,23.9,21.85,22.97,321400.0,0.0,1.0,22.66,23.9,21.85,22.97,321400.0
14790420,WIX,2014-04-01,23.49,23.83,22.33,22.61,204300.0,0.0,1.0,23.49,23.83,22.33,22.61,204300.0
14790421,WIX,2014-04-02,23.07,23.07,21.95,22.5,131300.0,0.0,1.0,23.07,23.07,21.95,22.5,131300.0
14790422,WIX,2014-04-03,22.57,22.82,21.28,22.79,290800.0,0.0,1.0,22.57,22.82,21.28,22.79,290800.0
14790423,WIX,2014-04-04,22.65,23.13,21.3,21.44,244300.0,0.0,1.0,22.65,23.13,21.3,21.44,244300.0
14790424,WIX,2014-04-07,21.5,21.5,20.5601,21.01,109500.0,0.0,1.0,21.5,21.5,20.5601,21.01,109500.0
14790425,WIX,2014-04-08,20.74,21.68,20.74,21.1,148200.0,0.0,1.0,20.74,21.68,20.74,21.1,148200.0
14790426,WIX,2014-04-09,21.27,23.11,21.0,22.75,252800.0,0.0,1.0,21.27,23.11,21.0,22.75,252800.0
14790427,WIX,2014-04-10,22.29,23.0,22.0,22.55,355500.0,0.0,1.0,22.29,23.0,22.0,22.55,355500.0
14790428,WIX,2014-04-11,22.36,22.68,21.0,21.37,284400.0,0.0,1.0,22.36,22.68,21.0,21.37,284400.0
14790429,WIX,2014-04-14,21.69,21.72,20.52,21.0,200800.0,0.0,1.0,21.69,21.72,20.52,21.0,200800.0
14790430,WIX,2014-04-15,21.17,21.29,20.3515,21.21,256600.0,0.0,1.0,21.17,21.29,20.3515,21.21,256600.0
14790431,WIX,2014-04-16,21.32,21.44,20.53,21.25,132700.0,0.0,1.0,21.32,21.44,20.53,21.25,132700.0
14790432,WIX,2014-04-17,21.25,21.82,21.1001,21.45,111400.0,0.0,1.0,21.25,21.82,21.1001,21.45,111400.0
14790433,WIX,2014-04-21,21.51,21.74,20.6701,21.29,217200.0,0.0,1.0,21.51,21.74,20.6701,21.29,217200.0
14790434,WIX,2014-04-22,21.39,22.265,21.05,22.0,141500.0,0.0,1.0,21.39,22.265,21.05,22.0,141500.0
14790435,WIX,2014-04-23,22.06,22.06,21.4,21.82,70300.0,0.0,1.0,22.06,22.06,21.4,21.82,70300.0
14790436,WIX,2014-04-24,22.03,22.1,20.96,21.15,237300.0,0.0,1.0,22.03,22.1,20.96,21.15,237300.0
14790437,WIX,2014-04-25,21.04,21.7399,20.5,20.52,183100.0,0.0,1.0,21.04,21.7399,20.5,20.52,183100.0
14790438,WIX,2014-04-28,20.65,21.408,19.0,19.94,297600.0,0.0,1.0,20.65,21.408,19.0,19.94,297600.0
14790439,WIX,2014-04-29,20.09,20.09,19.25,19.88,131800.0,0.0,1.0,20.09,20.09,19.25,19.88,131800.0
14790440,WIX,2014-04-30,19.89,20.72,19.47,20.49,577500.0,0.0,1.0,19.89,20.72,19.47,20.49,577500.0
14790441,WIX,2014-05-01,20.5,21.25,20.0,20.24,71800.0,0.0,1.0,20.5,21.25,20.0,20.24,71800.0
14790442,WIX,2014-05-02,20.23,20.3399,19.83,19.91,116500.0,0.0,1.0,20.23,20.3399,19.83,19.91,116500.0
14790443,WIX,2014-05-05,19.78,20.08,19.61,19.84,123600.0,0.0,1.0,19.78,20.08,19.61,19.84,123600.0
14790444,WIX,2014-05-06,19.65,19.866,19.2,19.26,183100.0,0.0,1.0,19.65,19.866,19.2,19.26,183100.0
14790445,WIX,2014-05-07,19.27,19.27,17.94,18.44,606300.0,0.0,1.0,19.27,19.27,17.94,18.44,606300.0
14790446,WIX,2014-05-08,18.48,19.3,17.08,17.24,384400.0,0.0,1.0,18.48,19.3,17.08,17.24,384400.0
14790447,WIX,2014-05-09,17.19,17.3299,16.224,16.52,304600.0,0.0,1.0,17.19,17.3299,16.224,16.52,304600.0
14790448,WIX,2014-05-12,17.69,17.8499,16.9,17.43,341100.0,0.0,1.0,17.69,17.8499,16.9,17.43,341100.0
14790449,WIX,2014-05-13,18.99,19.2,16.5,16.84,578700.0,0.0,1.0,18.99,19.2,16.5,16.84,578700.0
14790450,WIX,2014-05-14,16.9,17.29,16.22,16.22,275700.0,0.0,1.0,16.9,17.29,16.22,16.22,275700.0
14790451,WIX,2014-05-15,16.2,16.38,14.7,14.76,368000.0,0.0,1.0,16.2,16.38,14.7,14.76,368000.0
14790452,WIX,2014-05-16,14.7,15.44,14.28,15.43,284000.0,0.0,1.0,14.7,15.44,14.28,15.43,284000.0
14790453,WIX,2014-05-19,16.19,16.19,15.7,15.95,267400.0,0.0,1.0,16.19,16.19,15.7,15.95,267400.0
14790454,WIX,2014-05-20,16.17,16.17,15.455,15.62,228700.0,0.0,1.0,16.17,16.17,15.455,15.62,228700.0
14790455,WIX,2014-05-21,15.64,15.92,15.33,15.57,148300.0,0.0,1.0,15.64,15.92,15.33,15.57,148300.0
14790456,WIX,2014-05-22,15.68,16.18,15.38,15.93,260400.0,0.0,1.0,15.68,16.18,15.38,15.93,260400.0
14790457,WIX,2014-05-23,15.8,16.14,15.24,15.43,289800.0,0.0,1.0,15.8,16.14,15.24,15.43,289800.0
14790458,WIX,2014-05-27,15.98,17.09,15.67,16.65,577600.0,0.0,1.0,15.98,17.09,15.67,16.65,577600.0
14790459,WIX,2014-05-28,16.5,17.87,16.5,17.84,153900.0,0.0,1.0,16.5,17.87,16.5,17.84,153900.0
14790460,WIX,2014-05-29,17.86,18.0,17.25,17.88,182600.0,0.0,1.0,17.86,18.0,17.25,17.88,182600.0
14790461,WIX,2014-05-30,17.93,18.1699,17.27,17.86,148700.0,0.0,1.0,17.93,18.1699,17.27,17.86,148700.0
14790462,WIX,2014-06-02,17.74,18.086,16.75,17.7,129600.0,0.0,1.0,17.74,18.086,16.75,17.7,129600.0
14790463,WIX,2014-06-03,17.4,17.41,16.28,16.59,326900.0,0.0,1.0,17.4,17.41,16.28,16.59,326900.0
14790464,WIX,2014-06-04,16.39,16.94,16.1801,16.55,136200.0,0.0,1.0,16.39,16.94,16.1801,16.55,136200.0
14790465,WIX,2014-06-05,16.59,16.78,16.2,16.7,168000.0,0.0,1.0,16.59,16.78,16.2,16.7,168000.0
14790466,WIX,2014-06-06,16.75,17.23,16.485,17.01,152700.0,0.0,1.0,16.75,17.23,16.485,17.01,152700.0
14790467,WIX,2014-06-09,16.98,17.59,16.84,17.49,161100.0,0.0,1.0,16.98,17.59,16.84,17.49,161100.0
14790468,WIX,2014-06-10,17.46,18.26,16.99,18.03,133800.0,0.0,1.0,17.46,18.26,16.99,18.03,133800.0
14790469,WIX,2014-06-11,17.82,18.055999999999997,17.63,17.83,104900.0,0.0,1.0,17.82,18.055999999999997,17.63,17.83,104900.0
14790470,WIX,2014-06-12,17.71,18.052,17.54,17.76,129300.0,0.0,1.0,17.71,18.052,17.54,17.76,129300.0
14790471,WIX,2014-06-13,17.86,18.08,17.41,17.93,108000.0,0.0,1.0,17.86,18.08,17.41,17.93,108000.0
14790472,WIX,2014-06-16,17.84,18.1,17.43,17.59,143800.0,0.0,1.0,17.84,18.1,17.43,17.59,143800.0
14790473,WIX,2014-06-17,17.51,18.0,17.5,17.63,92600.0,0.0,1.0,17.51,18.0,17.5,17.63,92600.0
14790474,WIX,2014-06-18,17.56,17.94,17.5,17.76,80300.0,0.0,1.0,17.56,17.94,17.5,17.76,80300.0
14790475,WIX,2014-06-19,17.79,17.97,17.34,17.62,79900.0,0.0,1.0,17.79,17.97,17.34,17.62,79900.0
14790476,WIX,2014-06-20,17.59,17.7,17.0,17.54,197300.0,0.0,1.0,17.59,17.7,17.0,17.54,197300.0
14790477,WIX,2014-06-23,17.62,17.83,16.89,17.77,162900.0,0.0,1.0,17.62,17.83,16.89,17.77,162900.0
14790478,WIX,2014-06-24,18.65,20.31,18.5,20.04,1078800.0,0.0,1.0,18.65,20.31,18.5,20.04,1078800.0
14790479,WIX,2014-06-25,19.79,20.5,19.2202,20.06,423500.0,0.0,1.0,19.79,20.5,19.2202,20.06,423500.0
14790480,WIX,2014-06-26,20.15,20.74,19.6,20.05,207400.0,0.0,1.0,20.15,20.74,19.6,20.05,207400.0
14790481,WIX,2014-06-27,19.99,20.49,19.802,19.99,878000.0,0.0,1.0,19.99,20.49,19.802,19.99,878000.0
14790482,WIX,2014-06-30,20.0,20.89,19.78,19.84,220300.0,0.0,1.0,20.0,20.89,19.78,19.84,220300.0
14790483,WIX,2014-07-01,20.0,20.5,20.0,20.23,104400.0,0.0,1.0,20.0,20.5,20.0,20.23,104400.0
14790484,WIX,2014-07-02,20.14,20.47,19.81,19.91,74900.0,0.0,1.0,20.14,20.47,19.81,19.91,74900.0
14790485,WIX,2014-07-03,20.12,20.1995,19.81,20.09,48600.0,0.0,1.0,20.12,20.1995,19.81,20.09,48600.0
14790486,WIX,2014-07-07,20.01,20.2225,19.91,20.0,107100.0,0.0,1.0,20.01,20.2225,19.91,20.0,107100.0
14790487,WIX,2014-07-08,20.0,20.0,18.75,19.31,143600.0,0.0,1.0,20.0,20.0,18.75,19.31,143600.0
14790488,WIX,2014-07-09,19.42,20.0,19.18,19.93,110700.0,0.0,1.0,19.42,20.0,19.18,19.93,110700.0
14790489,WIX,2014-07-10,19.37,19.74,19.03,19.17,97500.0,0.0,1.0,19.37,19.74,19.03,19.17,97500.0
14790490,WIX,2014-07-11,19.1,20.02,19.01,19.1,48400.0,0.0,1.0,19.1,20.02,19.01,19.1,48400.0
14790491,WIX,2014-07-14,19.44,19.8294,19.04,19.24,61300.0,0.0,1.0,19.44,19.8294,19.04,19.24,61300.0
14790492,WIX,2014-07-15,19.3,19.3,17.91,18.33,172000.0,0.0,1.0,19.3,19.3,17.91,18.33,172000.0
14790493,WIX,2014-07-16,18.51,18.565,17.91,18.07,115900.0,0.0,1.0,18.51,18.565,17.91,18.07,115900.0
14790494,WIX,2014-07-17,17.87,18.29,17.75,17.92,143500.0,0.0,1.0,17.87,18.29,17.75,17.92,143500.0
14790495,WIX,2014-07-18,17.86,18.24,17.6,17.83,87600.0,0.0,1.0,17.86,18.24,17.6,17.83,87600.0
14790496,WIX,2014-07-21,17.62,17.7,17.31,17.36,131900.0,0.0,1.0,17.62,17.7,17.31,17.36,131900.0
14790497,WIX,2014-07-22,17.51,18.29,17.5,17.92,116800.0,0.0,1.0,17.51,18.29,17.5,17.92,116800.0
14790498,WIX,2014-07-23,18.07,18.14,17.53,17.7,66300.0,0.0,1.0,18.07,18.14,17.53,17.7,66300.0
14790499,WIX,2014-07-24,17.77,18.0099,17.65,17.76,43800.0,0.0,1.0,17.77,18.0099,17.65,17.76,43800.0
14790500,WIX,2014-07-25,17.54,17.91,17.39,17.63,83200.0,0.0,1.0,17.54,17.91,17.39,17.63,83200.0
14790501,WIX,2014-07-28,17.6,17.637999999999998,17.0,17.19,67900.0,0.0,1.0,17.6,17.637999999999998,17.0,17.19,67900.0
14790502,WIX,2014-07-29,17.25,17.96,17.08,17.75,103800.0,0.0,1.0,17.25,17.96,17.08,17.75,103800.0
14790503,WIX,2014-07-30,17.94,18.2484,17.34,17.47,64900.0,0.0,1.0,17.94,18.2484,17.34,17.47,64900.0
14790504,WIX,2014-07-31,17.25,17.25,16.715999999999998,16.95,79500.0,0.0,1.0,17.25,17.25,16.715999999999998,16.95,79500.0
14790505,WIX,2014-08-01,16.93,17.15,16.0,16.15,122300.0,0.0,1.0,16.93,17.15,16.0,16.15,122300.0
14790506,WIX,2014-08-04,16.31,16.7,16.01,16.33,81500.0,0.0,1.0,16.31,16.7,16.01,16.33,81500.0
14790507,WIX,2014-08-05,16.25,17.5612,16.25,17.36,132800.0,0.0,1.0,16.25,17.5612,16.25,17.36,132800.0
14790508,WIX,2014-08-06,18.11,18.35,17.11,17.62,250000.0,0.0,1.0,18.11,18.35,17.11,17.62,250000.0
14790509,WIX,2014-08-07,17.81,17.81,16.13,16.78,472600.0,0.0,1.0,17.81,17.81,16.13,16.78,472600.0
14790510,WIX,2014-08-08,16.74,16.7875,16.2,16.52,91000.0,0.0,1.0,16.74,16.7875,16.2,16.52,91000.0
14790511,WIX,2014-08-11,16.72,16.798,16.32,16.5,132100.0,0.0,1.0,16.72,16.798,16.32,16.5,132100.0
14790512,WIX,2014-08-12,16.48,16.6,16.0101,16.2,95100.0,0.0,1.0,16.48,16.6,16.0101,16.2,95100.0
14790513,WIX,2014-08-13,16.2,16.87,15.6,16.79,254300.0,0.0,1.0,16.2,16.87,15.6,16.79,254300.0
14790514,WIX,2014-08-14,16.89,16.89,16.51,16.71,127500.0,0.0,1.0,16.89,16.89,16.51,16.71,127500.0
14790515,WIX,2014-08-15,16.79,16.88,16.34,16.74,103100.0,0.0,1.0,16.79,16.88,16.34,16.74,103100.0
14790516,WIX,2014-08-18,16.8,17.69,16.54,17.49,264600.0,0.0,1.0,16.8,17.69,16.54,17.49,264600.0
14790517,WIX,2014-08-19,17.62,17.76,17.2,17.45,185500.0,0.0,1.0,17.62,17.76,17.2,17.45,185500.0
14790518,WIX,2014-08-20,17.31,17.31,16.89,16.9,94400.0,0.0,1.0,17.31,17.31,16.89,16.9,94400.0
14790519,WIX,2014-08-21,16.95,17.7,16.7298,17.6,157400.0,0.0,1.0,16.95,17.7,16.7298,17.6,157400.0
14790520,WIX,2014-08-22,17.6,17.64,16.65,16.77,131900.0,0.0,1.0,17.6,17.64,16.65,16.77,131900.0
14790521,WIX,2014-08-25,16.9,17.29,16.8,16.92,88700.0,0.0,1.0,16.9,17.29,16.8,16.92,88700.0
14790522,WIX,2014-08-26,16.85,16.9,16.69,16.74,135900.0,0.0,1.0,16.85,16.9,16.69,16.74,135900.0
14790523,WIX,2014-08-27,16.85,16.942,16.44,16.5,82800.0,0.0,1.0,16.85,16.942,16.44,16.5,82800.0
14790524,WIX,2014-08-28,16.35,16.655,16.1028,16.23,118200.0,0.0,1.0,16.35,16.655,16.1028,16.23,118200.0
14790525,WIX,2014-08-29,16.29,17.02,16.137999999999998,16.46,264100.0,0.0,1.0,16.29,17.02,16.137999999999998,16.46,264100.0
14790526,WIX,2014-09-02,16.49,16.8301,16.33,16.63,171100.0,0.0,1.0,16.49,16.8301,16.33,16.63,171100.0
14790527,WIX,2014-09-03,17.0,17.0,16.57,16.7,101800.0,0.0,1.0,17.0,17.0,16.57,16.7,101800.0
14790528,WIX,2014-09-04,16.75,18.0,16.43,16.56,108200.0,0.0,1.0,16.75,18.0,16.43,16.56,108200.0
14790529,WIX,2014-09-05,16.45,16.65,16.16,16.2,109900.0,0.0,1.0,16.45,16.65,16.16,16.2,109900.0
14790530,WIX,2014-09-08,16.75,16.96,16.19,16.89,124100.0,0.0,1.0,16.75,16.96,16.19,16.89,124100.0
14790531,WIX,2014-09-09,17.0,17.05,16.52,16.87,103100.0,0.0,1.0,17.0,17.05,16.52,16.87,103100.0
